City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Cuauhtemoc,MX,28.4167,-106.8667,82.31,14,12,7.27,few clouds
229,Ilulissat,GL,69.2167,-51.1,35.62,87,100,5.75,overcast clouds
230,Maniitsoq,GL,65.4167,-52.9,39.56,76,8,12.24,clear sky
231,Mahibadhoo,MV,3.7833,72.9667,83.28,73,97,12.97,overcast clouds
232,Severobaykalsk,RU,55.65,109.3167,55.04,59,44,3.22,scattered clouds
233,Faya,SA,18.3851,42.4509,68.11,14,1,1.9,clear sky
234,Cherskiy,RU,68.75,161.3,69.55,21,41,10.98,scattered clouds
235,Libertador General San Martin,AR,-23.8064,-64.7876,49.98,83,0,2.57,clear sky
236,Qaqortoq,GL,60.7167,-46.0333,41.7,96,100,3.4,light rain
237,Benguela,AO,-12.5763,13.4055,71.2,52,1,4.34,clear sky
238,Ust-Ilimsk,RU,58.0006,102.6619,76.26,29,86,4.85,overcast clouds
239,Hasaki,JP,35.7333,140.8333,72.0,78,79,18.72,broken clouds
240,Palmas,BR,-10.2128,-48.3603,76.87,69,0,3.44,clear sky
241,Donauworth,DE,48.7,10.8,54.3,87,0,2.98,clear sky
242,Lakatoro,VU,-16.0999,167.4164,82.56,72,66,7.23,broken clouds
243,Mastic Beach,US,40.7668,-72.8521,70.05,75,100,14.0,overcast clouds
244,Kaseda,JP,31.4167,130.3167,73.99,69,100,1.36,overcast clouds
245,Vostok,RU,46.4856,135.8833,67.39,38,1,5.7,clear sky
246,Geraldton,AU,-28.7667,114.6,66.61,94,75,17.27,light intensity shower rain
247,Cap Malheureux,MU,-19.9842,57.6142,68.47,87,96,5.99,overcast clouds
248,Whitehorse,CA,60.7161,-135.0538,57.02,81,75,9.22,light intensity shower rain
249,Qasigiannguit,GL,68.8193,-51.1922,35.85,90,16,4.14,few clouds
250,Padang,ID,-0.9492,100.3543,75.25,79,100,4.36,overcast clouds
251,Broome,US,42.2506,-75.833,62.98,74,0,3.44,clear sky
252,Umm Lajj,SA,25.0213,37.2685,86.54,37,0,7.63,clear sky
253,Souillac,MU,-20.5167,57.5167,68.38,100,75,3.44,light rain
254,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,49.87,44,74,5.53,broken clouds
255,Deputatskiy,RU,69.3,139.9,61.57,35,18,19.73,few clouds
256,Brewster,US,41.3973,-73.6171,65.91,86,0,0.0,clear sky
257,La Ronge,CA,55.1001,-105.2842,64.62,63,40,5.75,scattered clouds
258,Xining,CN,36.6167,101.7667,62.02,49,76,2.21,broken clouds
259,Marawi,PH,7.9986,124.2928,82.02,60,41,4.76,scattered clouds
260,Markdale,CA,44.3168,-80.6497,58.35,98,100,5.06,light rain
261,Ginda,IN,30.6945,78.4932,82.69,25,9,3.51,clear sky
262,Mkushi,ZM,-13.6202,29.3939,48.0,84,0,5.59,clear sky
263,Sharjah,AE,25.3573,55.4033,84.18,57,0,6.91,clear sky
264,Tarauaca,BR,-8.1614,-70.7656,66.18,88,91,2.19,overcast clouds
265,Yarada,IN,17.65,83.2667,86.32,74,75,6.91,mist
266,Conakry,GN,9.538,-13.6773,79.74,78,47,3.78,scattered clouds
267,Tanggu,CN,39.0211,117.6469,69.76,76,100,7.58,moderate rain
268,Katsuura,JP,35.1333,140.3,69.84,74,85,16.87,overcast clouds
269,Mumford,GH,5.2618,-0.759,77.23,76,100,7.63,overcast clouds
270,Srandakan,ID,-7.9386,110.2506,83.97,72,100,1.86,overcast clouds
271,Haines Junction,CA,60.7522,-137.5108,62.55,31,84,10.36,broken clouds
272,Srednekolymsk,RU,67.45,153.6833,69.84,31,39,8.46,scattered clouds
273,Oktyabrskiy,RU,54.4815,53.471,49.17,82,0,12.46,clear sky
274,Manono,CD,-7.3,27.4167,68.34,58,37,5.17,scattered clouds
275,Iskateley,RU,67.6803,53.1512,45.16,50,0,9.95,clear sky
276,Babylon,US,40.6957,-73.3257,70.99,69,20,8.05,few clouds
277,Fortuna,US,40.5982,-124.1573,64.92,91,100,10.36,overcast clouds
278,Kyzyl-Suu,KG,42.3414,78.0056,65.32,54,20,2.89,few clouds
279,Yugorsk,RU,61.3133,63.3319,55.87,93,100,9.98,light rain
280,Great Yarmouth,GB,52.6083,1.7305,53.42,94,4,11.21,clear sky
281,Cravo Norte,CO,6.3017,-70.2041,73.74,94,94,8.1,overcast clouds
282,Ginir,ET,7.1333,40.7,55.22,82,87,5.77,overcast clouds
283,Cabo San Lucas,MX,22.8909,-109.9124,90.7,57,0,11.5,clear sky
284,Birao,CF,10.2849,22.7882,73.38,81,100,2.55,overcast clouds
285,Cockburn Town,TC,21.4612,-71.1419,80.92,87,99,21.12,overcast clouds
286,Codrington,AU,-38.2667,141.9667,54.75,70,100,13.67,overcast clouds
287,Valdivia,CL,-39.8142,-73.2459,33.89,95,100,0.72,overcast clouds
288,Beaverlodge,CA,55.2166,-119.4361,60.15,52,16,9.84,few clouds
289,Springdale,US,36.1867,-94.1288,82.13,87,0,9.22,clear sky
290,Praya,CV,14.9215,-23.5087,73.94,78,20,10.36,few clouds
291,Ilhabela,BR,-23.7781,-45.3581,63.5,86,100,2.06,overcast clouds
292,Mopipi,BW,-21.1833,24.8833,48.87,89,0,8.95,clear sky
293,Russell,US,32.3502,-85.1999,79.83,88,0,0.0,clear sky
294,Hudson Bay,CA,52.85,-102.3842,57.52,86,79,2.77,broken clouds
295,Hastings,GB,50.8552,0.5729,55.78,81,81,8.41,broken clouds
296,Sangar,RU,63.9242,127.4739,62.46,56,100,10.36,overcast clouds
297,Mweka,CD,-4.85,21.5667,65.23,63,8,1.7,clear sky
298,Nuqui,CO,5.7125,-77.2708,75.96,94,100,6.8,moderate rain
299,Ovsyanka,RU,55.9575,92.5519,65.37,75,99,3.87,overcast clouds
300,Lompoc,US,34.6391,-120.4579,72.84,75,0,11.5,clear sky
301,Rawson,AR,-43.3002,-65.1023,54.64,37,100,12.12,overcast clouds
302,Adwa,ET,14.1646,38.8955,68.59,30,58,3.27,broken clouds
303,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.56,87,100,7.11,overcast clouds
304,Sestri Levante,IT,44.2732,9.3968,72.55,64,0,4.0,clear sky
305,Teknaf,BD,20.8624,92.3058,85.57,73,53,10.83,broken clouds
306,Middelburg,ZA,-25.7751,29.4648,43.66,63,0,0.72,clear sky
307,Magalia,US,39.8121,-121.5783,87.35,40,16,1.99,few clouds
308,Pujili,EC,-0.95,-78.6833,50.49,93,40,6.91,scattered clouds
309,Akdepe,TM,42.0551,59.3788,68.09,31,0,5.46,clear sky
310,Paka,MY,4.6374,103.4368,76.93,94,40,0.0,moderate rain
311,Kapustin Yar,RU,48.5831,45.7372,71.44,58,8,7.4,clear sky
312,Omboue,GA,-1.5746,9.2618,74.73,89,0,2.55,clear sky
313,Hobyo,SO,5.3505,48.5268,78.55,81,88,23.73,overcast clouds
314,Kidodi,TZ,-7.6036,37.0044,69.46,81,100,3.56,overcast clouds
315,Asau,RO,46.4333,26.4,59.92,95,100,4.97,overcast clouds
316,Howard Springs,AU,-12.497,131.047,81.99,40,14,8.86,few clouds
317,Port Hedland,AU,-20.3167,118.5667,77.05,29,40,19.57,scattered clouds
318,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,32,0,2.3,clear sky
319,George,ZA,-33.963,22.4617,68.14,30,95,14.79,overcast clouds
320,Port Blair,IN,11.6667,92.75,84.24,84,40,3.44,mist
321,Viedma,AR,-40.8135,-62.9967,50.43,42,78,10.69,broken clouds
322,Jacqueville,CI,5.2052,-4.4146,79.09,78,100,9.93,overcast clouds
323,Kalat,PK,29.0225,66.5916,78.26,26,11,5.5,few clouds
324,Rio Grande,BR,-32.035,-52.0986,45.95,62,9,20.15,clear sky
325,Llanelli,GB,51.682,-4.1619,57.09,86,75,18.41,broken clouds
326,Palmeiras De Goias,BR,-16.805,-49.9258,63.9,73,100,4.68,overcast clouds
327,Yenagoa,NG,4.9247,6.2642,72.59,97,100,2.04,overcast clouds
328,Santa Lucia,ES,27.9117,-15.5407,61.92,83,75,26.46,broken clouds
329,Polyarnyy,RU,69.1989,33.4478,51.17,86,100,17.83,overcast clouds
