City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Port Moresby,PG,83.79,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
465,Kalmunai,LK,83.23,overcast clouds,7.4167,81.8167,VS Villa
467,Manati,PR,81.68,overcast clouds,18.4275,-66.4921,Manati World Point Inn
468,Araouane,ML,85.32,scattered clouds,18.9048,-3.5265,
472,Atar,MR,88.27,clear sky,20.5169,-13.0499,Oumou Elghoura
473,Axim,GH,76.91,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
477,Kutum,SD,75.15,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
479,Thinadhoo,MV,83.77,overcast clouds,0.5333,72.9333,
480,Key West,US,87.8,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
484,Barcelos,PT,75.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
485,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
487,Lazaro Cardenas,MX,81.32,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
488,Kavaratti,IN,83.43,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
495,Xam Nua,LA,82.81,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
502,Boyolangu,ID,83.17,overcast clouds,-8.1181,111.8935,Yos ega cv
504,La Asuncion,VE,80.33,broken clouds,11.0333,-63.8628,Colinas de Matasiete
505,Sur,OM,86.41,clear sky,22.5667,59.5289,Sur Plaza Hotel
509,Tadine,NC,75.51,broken clouds,-21.55,167.8833,
512,Chechat,IN,87.75,overcast clouds,24.7667,75.8833,"Shri raghunath palace, hotal & restrorent"
513,Shangqiu,CN,87.28,overcast clouds,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
516,Culebra,PR,82.49,scattered clouds,18.303,-65.301,Palmetto Guesthouse
518,Kroya,ID,83.46,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
519,Sibolga,ID,79.61,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
522,Sola,VU,80.78,few clouds,-13.8833,167.55,Leumerus Bungalows
524,Sukumo,JP,81.54,clear sky,32.9333,132.7333,Sukumojo
525,San Fernando,PH,89.33,overcast clouds,15.0286,120.6898,Maharlika Hostel
530,Touros,BR,75.96,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
531,Guadalupe,MX,88.63,clear sky,25.6833,-100.25,Fiesta Inn Monterrey Fundidora
532,Kotaparh,IN,83.84,overcast clouds,19.15,82.35,Atul Pattnaik
537,Darab,IR,86.4,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
540,Tual,ID,82.98,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
546,Shumskiy,RU,77.13,overcast clouds,54.8318,99.1328,
548,Godfrey,US,81.68,clear sky,38.9556,-90.1868,Super 8 by Wyndham Alton
553,Shingu,JP,77.02,clear sky,33.7333,135.9833,Shingu UI Hotel
554,Lamu,KE,79.02,light rain,-2.2717,40.902,Lamu House
555,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
559,Oussouye,SN,78.22,overcast clouds,12.485,-16.5469,Auberge du Routard
564,Payo,ID,82.51,overcast clouds,-3.7508,103.6372,Mess keban agung
572,San Ignacio,BZ,75.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
574,Keti Bandar,PK,85.05,overcast clouds,24.1447,67.4497,Haji laloo memon house
585,Nabire,ID,84.42,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
588,Carolina,PR,82.29,haze,18.3808,-65.9574,Motel Fantasy Star
597,Manokwari,ID,83.37,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
598,Kupang,ID,83.75,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
600,Davila,PH,87.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
607,Nioro,GM,77.56,broken clouds,13.35,-15.75,
608,Labuhan,ID,83.64,light rain,-6.8844,112.2051,DoubleFAG
609,Puerto El Triunfo,SV,81.52,overcast clouds,13.2833,-88.55,Hotel Jardin
610,Tabasco,MX,85.06,scattered clouds,18.0,-92.6667,
615,Newnan,US,79.38,broken clouds,33.3807,-84.7997,La Quinta Inn & Suites by Wyndham Atlanta South - Newnan
616,Katobu,ID,82.17,overcast clouds,-4.9408,122.5276,La Ode Husein
617,Matara,LK,81.39,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
623,Ipoh,MY,80.51,few clouds,4.5841,101.0829,Ritz Garden Hotel
624,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
625,Nuzvid,IN,88.65,overcast clouds,16.7833,80.85,HI-TECH LODGE
629,Ashqelon,IL,75.09,clear sky,31.6693,34.5715,Leonardo Ashkelon
635,Jevargi,IN,83.14,overcast clouds,17.0167,76.7667,Khamadhenu Hotel
637,Kirakira,SB,84.81,scattered clouds,-10.4544,161.9205,SanBiz Lodge
639,Pizarro,CO,76.77,light rain,4.9533,-77.366,Hotel Limonar
641,Tabas,IR,83.19,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
646,Dzaoudzi,YT,78.69,broken clouds,-12.7887,45.2699,Le Rocher
647,Sibu,MY,80.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
652,Saint-Louis,SN,75.06,overcast clouds,16.3333,-15.0,
656,Kapoeta,SS,76.95,clear sky,4.7717,33.5903,Eastgate Hotel
657,Grand Island,US,82.69,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
658,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
662,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
665,Buala,SB,84.34,light rain,-8.145,159.5921,Maringe Lagoon Lodge
666,Galveston,US,85.05,scattered clouds,29.3669,-94.9669,Crystal Suites
670,Chabahar,IR,85.53,overcast clouds,25.2919,60.643,هتل گدروشیا
672,Cedar City,US,86.97,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
675,Umm Kaddadah,SD,83.93,overcast clouds,13.6017,26.6876,
677,Macrohon,PH,83.7,broken clouds,10.0797,124.9431,Banahaw Creek
680,Hami,CN,87.76,clear sky,42.8,93.45,Laoyutang Resort
